id,gho_code,year_code,region_code,world_bank_income_group_group_code,country_code,sex_code
ad8a9a87-3daa-45dd-a480-5022dcc37108,WHOSIS_000002,2012,AFR,WB_LMI,AGO,BTSX
b2ab36c6-4b1d-4c01-9d73-d2d523ef7e33,WHOSIS_000002,2012,AFR,WB_LMI,AGO,FMLE
fb689192-2dad-4e61-b6c6-088b5ce6df86,WHOSIS_000002,2012,AFR,WB_LMI,AGO,MLE
3d932f6a-1485-4479-b90c-79f4670a9e16,WHOSIS_000002,2000,AFR,WB_LMI,AGO,BTSX
c6c018f6-9747-4c6d-a4c2-d87bb6f44bc7,WHOSIS_000002,2000,AFR,WB_LMI,AGO,FMLE
109564c2-a212-49e9-a661-2cbbca7f0407,WHOSIS_000002,2000,AFR,WB_LMI,AGO,MLE
8f2f5b8f-3e33-402a-87e8-e8428e93702b,WHOSIS_000015,2013,AFR,NA,AGO,BTSX
59e3b6a6-5084-42a8-8300-cb6e4caefcd1,WHOSIS_000015,2013,AFR,NA,AGO,FMLE
eba9c240-d607-4292-90f3-080ea530e507,WHOSIS_000015,2013,AFR,NA,AGO,MLE
fee4a915-d116-4de4-aa65-95465a30a7d9,WHOSIS_000015,2012,AFR,WB_LMI,AGO,BTSX
f3da4b07-e04e-4fd0-ac61-23fcd1947b50,WHOSIS_000015,2012,AFR,WB_LMI,AGO,FMLE
f6cdc9ee-63fe-4efd-87af-deb5638e9ba0,WHOSIS_000015,2012,AFR,WB_LMI,AGO,MLE
a5fbe851-fd76-458f-808b-fb160cb94b33,WHOSIS_000015,2000,AFR,WB_LMI,AGO,BTSX
fbf62b43-b61c-4c50-a85b-8c50a6157c3d,WHOSIS_000015,2000,AFR,WB_LMI,AGO,FMLE
d82e890c-d977-43c8-af11-4d32cd084167,WHOSIS_000015,2000,AFR,WB_LMI,AGO,MLE
09857e41-af00-4866-a4e3-e20294a41504,WHOSIS_000015,1990,AFR,WB_LMI,AGO,BTSX
9192c7be-4f17-43f9-86b8-f3b49f5ee713,WHOSIS_000015,1990,AFR,WB_LMI,AGO,FMLE
2dcb9907-e45e-4993-a4e9-e3c482ca8ef8,WHOSIS_000015,1990,AFR,WB_LMI,AGO,MLE
2be05255-1f5d-4c22-8182-6727fba282db,WHOSIS_000001,2013,AMR,NA,ATG,BTSX
cc8d44f5-0c90-4c6f-a36d-3193cca5d802,WHOSIS_000001,2013,AMR,NA,ATG,FMLE
c4089d12-b86a-49b5-8b0c-3b7d92010383,WHOSIS_000001,2013,AMR,NA,ATG,MLE
9d1dfa40-4838-4f0f-a4ab-1e0752e0e547,WHOSIS_000001,2012,AMR,WB_HI,ATG,BTSX
5e4766eb-933e-4d9d-afd8-1418543e0d34,WHOSIS_000001,2012,AMR,WB_HI,ATG,FMLE
34b4f5d5-681d-401a-8251-ec451cfb0582,WHOSIS_000001,2012,AMR,WB_HI,ATG,MLE
4e9ab045-02de-41ba-b828-65afaa0b7c27,WHOSIS_000001,2000,AMR,WB_HI,ATG,BTSX
bb87bab4-cff5-4e40-b36a-c9936669810c,WHOSIS_000001,2000,AMR,WB_HI,ATG,FMLE
